Property_ID,Has_Gym,Has_Swimming_Pool,Has_Security,Has_Parking,Has_Power_Backup
PROP_0279,0,1,1,1,1
PROP_0280,0,1,0,0,0
PROP_0281,0,1,1,1,1
PROP_0282,0,0,1,1,1
PROP_0283,1,1,1,0,1
PROP_0284,1,1,0,1,0
PROP_0285,0,1,0,1,1
PROP_0286,1,1,1,0,0
PROP_0287,1,1,1,0,0
PROP_0288,0,1,1,0,0
PROP_0289,0,0,1,1,0
PROP_0290,1,1,0,0,0
PROP_0291,0,0,0,1,1
PROP_0292,0,1,0,0,1
PROP_0293,0,1,1,0,1
PROP_0294,0,0,1,1,0
PROP_0295,0,0,1,1,0
PROP_0296,0,0,0,0,0
PROP_0297,1,1,0,1,0
PROP_0298,1,1,1,0,0
PROP_0299,1,1,1,1,0
PROP_0300,0,0,0,0,1
PROP_0301,1,1,1,1,0
PROP_0302,0,0,1,0,1
PROP_0303,1,0,1,0,0
PROP_0304,0,0,0,0,1
PROP_0305,0,1,0,0,1
PROP_0306,0,0,0,1,0
PROP_0307,1,1,0,0,1
PROP_0308,1,0,1,0,0
PROP_0309,1,1,0,0,0
PROP_0310,0,1,0,1,1
PROP_0311,1,1,1,0,0
PROP_0312,1,0,0,0,1
PROP_0313,0,1,1,1,0
PROP_0314,0,0,0,1,1
PROP_0315,1,0,1,1,1
PROP_0316,1,0,0,1,1
PROP_0317,1,1,1,0,0
PROP_0318,0,0,1,1,1
PROP_0319,0,1,0,1,1
PROP_0320,1,0,1,1,0
PROP_0321,0,1,1,1,0
PROP_0322,1,1,1,0,1
PROP_0323,1,1,1,0,1
PROP_0324,0,1,0,0,1
PROP_0325,1,1,0,0,0
PROP_0326,1,0,0,1,0
PROP_0327,1,0,0,1,1
PROP_0328,0,0,1,0,0
PROP_0329,0,1,1,1,0
PROP_0330,1,0,0,1,0
PROP_0331,1,0,0,0,1
PROP_0332,0,0,1,0,1
PROP_0333,0,0,0,0,0
PROP_0334,0,0,0,1,1
PROP_0335,0,0,0,1,1
PROP_0336,0,1,0,0,0
PROP_0337,1,0,0,1,1
PROP_0338,1,0,1,1,1
PROP_0339,1,0,1,1,1
PROP_0340,0,1,0,1,0
PROP_0341,0,1,0,0,0
PROP_0342,1,1,0,1,1
PROP_0343,1,0,0,1,0
PROP_0344,0,1,1,0,0
PROP_0345,1,0,1,0,1
PROP_0346,0,1,1,0,0
PROP_0347,1,0,1,0,0
PROP_0348,1,0,0,1,0
PROP_0349,1,0,0,1,1
PROP_0350,1,0,1,0,0
PROP_0351,0,0,1,0,0
PROP_0352,1,0,1,0,1
PROP_0353,1,1,1,1,1
PROP_0354,0,1,0,1,0
PROP_0355,1,0,1,1,1
PROP_0356,1,1,0,1,1
PROP_0357,0,0,0,0,1
PROP_0358,1,1,0,0,1
PROP_0359,1,0,0,0,1
PROP_0360,0,0,1,0,1
PROP_0361,1,1,1,0,0
PROP_0362,1,0,0,1,0
PROP_0363,1,1,0,0,0
PROP_0364,1,1,0,0,0
PROP_0365,0,1,1,0,0
PROP_0366,1,0,1,1,0
PROP_0367,1,0,0,1,1
PROP_0368,1,1,0,0,1
PROP_0369,1,1,0,1,1
PROP_0370,1,0,0,0,1
PROP_0371,1,1,0,1,0
PROP_0372,0,1,0,0,1
PROP_0373,1,1,1,0,1
PROP_0374,1,0,0,1,0
PROP_0375,0,0,1,0,1
PROP_0376,1,0,1,0,0
PROP_0377,1,1,0,1,1
PROP_0378,1,0,0,0,1
PROP_0379,0,0,0,1,1
PROP_0380,0,0,1,0,1
PROP_0381,1,1,1,1,0
PROP_0382,1,1,1,1,0
PROP_0383,1,0,0,1,1
PROP_0384,0,0,1,0,1
PROP_0385,0,0,0,1,1
PROP_0386,0,1,0,0,1
PROP_0387,1,1,0,1,1
PROP_0388,1,1,1,1,1
PROP_0389,1,1,0,0,0
PROP_0390,1,0,0,1,0
PROP_0391,1,0,1,1,0
PROP_0392,0,0,1,0,1
PROP_0393,0,1,0,0,1
PROP_0394,1,1,0,1,1
PROP_0395,0,0,0,0,1
PROP_0396,1,1,1,1,1
PROP_0397,1,1,1,1,0
PROP_0398,1,0,0,1,0
PROP_0399,1,1,1,0,1
PROP_0400,0,0,0,1,0
PROP_0401,1,0,0,0,1
PROP_0402,0,0,1,0,1
PROP_0403,1,1,0,1,1
PROP_0404,1,0,0,0,1
PROP_0405,0,1,0,0,1
PROP_0406,1,0,0,0,0
PROP_0407,1,0,1,0,1
PROP_0408,0,0,1,0,1
PROP_0409,0,1,1,1,0
PROP_0410,0,1,0,0,0
PROP_0411,1,0,0,1,1
PROP_0412,1,1,0,0,0
PROP_0413,0,0,1,0,1
PROP_0414,0,0,0,1,1
PROP_0415,0,1,1,1,1
PROP_0416,1,0,0,0,0
PROP_0417,1,1,1,1,1
PROP_0418,0,1,0,1,0
PROP_0419,1,1,0,0,0
PROP_0420,0,1,1,0,0
PROP_0421,0,1,0,1,0
PROP_0422,1,1,1,0,0
PROP_0423,0,0,1,1,0
PROP_0424,1,0,1,1,0
PROP_0425,1,1,1,1,0
PROP_0426,1,0,0,0,0
PROP_0427,0,1,1,1,0
PROP_0428,1,1,0,0,0
PROP_0429,0,0,1,0,0
PROP_0430,0,0,1,1,0
PROP_0431,1,1,1,0,1
PROP_0432,1,1,1,1,1
PROP_0433,1,1,1,0,0
PROP_0434,0,1,1,1,0
PROP_0435,0,0,0,1,1
PROP_0436,1,0,1,0,0
PROP_0437,1,1,1,0,0
PROP_0438,0,0,0,0,0
PROP_0439,0,0,1,0,0
PROP_0440,0,0,0,0,1
PROP_0441,1,0,1,0,1
PROP_0442,1,0,1,0,0
PROP_0443,1,0,1,0,0
PROP_0444,0,0,1,1,1
PROP_0445,1,1,1,0,0
PROP_0446,1,1,0,1,1
PROP_0447,1,1,0,0,0
PROP_0448,0,0,1,0,0
PROP_0449,1,0,0,1,1
PROP_0450,0,0,0,0,0
PROP_0451,1,1,0,1,1
PROP_0452,1,0,1,0,1
PROP_0453,1,1,0,0,0
PROP_0454,1,0,0,1,0
PROP_0455,1,0,1,1,0
PROP_0456,1,1,1,1,0
PROP_0457,0,1,0,1,1
PROP_0458,0,0,1,1,1
PROP_0459,1,0,1,1,1
PROP_0460,0,0,0,0,0
PROP_0461,0,0,1,1,1
PROP_0462,1,1,1,0,1
PROP_0463,0,0,1,1,1
PROP_0464,0,0,1,1,1
PROP_0465,1,0,1,0,1
PROP_0466,0,0,1,0,1
PROP_0467,0,1,0,1,1
PROP_0468,1,1,1,0,0
PROP_0469,0,1,0,0,0
PROP_0470,0,1,0,0,0
PROP_0471,1,1,0,1,0
PROP_0472,0,0,0,0,1
PROP_0473,1,0,1,0,0
PROP_0474,0,1,1,1,1
PROP_0475,0,1,1,1,1
PROP_0476,0,1,1,0,1
PROP_0477,0,1,1,0,0
PROP_0478,1,1,1,0,1
PROP_0479,0,1,0,1,1
PROP_0480,1,1,0,1,1
PROP_0481,1,1,0,1,1
PROP_0482,0,0,0,1,0
PROP_0483,0,0,1,1,1
PROP_0484,1,0,1,0,1
PROP_0485,1,0,0,1,1
PROP_0486,0,1,0,1,1
PROP_0487,1,1,1,1,1
PROP_0488,1,0,1,1,0
PROP_0489,1,0,1,1,1
PROP_0490,1,1,0,0,1
PROP_0491,1,1,1,1,1
PROP_0492,0,1,1,0,0
PROP_0493,0,1,0,1,1
PROP_0494,1,1,0,0,1
PROP_0495,0,1,0,1,0
PROP_0496,0,0,1,1,1
PROP_0497,1,0,1,0,1
PROP_0498,1,1,0,1,0
PROP_0499,1,0,0,0,1
PROP_0500,1,0,1,0,1
PROP_0501,1,0,0,0,0
PROP_0502,0,0,1,1,0
PROP_0503,1,0,0,1,1
PROP_0504,1,0,0,0,1
PROP_0505,1,0,1,0,0
PROP_0506,1,0,1,1,0
PROP_0507,1,1,1,1,1
PROP_0508,1,1,1,0,1
PROP_0509,0,0,1,1,0
PROP_0510,1,1,1,1,0
PROP_0511,1,1,1,1,0
PROP_0512,1,0,1,1,1
PROP_0513,1,0,1,0,0
PROP_0514,1,0,1,0,1
PROP_0515,0,0,0,1,1
PROP_0516,0,0,1,0,0
PROP_0517,0,0,0,0,1
PROP_0518,1,0,0,0,1
PROP_0519,0,0,0,0,1
PROP_0520,0,1,1,0,1
PROP_0521,1,0,0,0,1
PROP_0522,1,0,0,0,0
PROP_0523,0,0,1,1,1
PROP_0524,1,1,1,1,0
PROP_0525,0,1,1,0,0
PROP_0526,1,1,0,0,0
PROP_0527,1,1,1,0,1
PROP_0528,0,0,0,1,0
PROP_0529,1,1,1,1,0
PROP_0530,0,0,0,0,1
PROP_0531,1,0,0,1,1
PROP_0532,1,1,1,1,0
PROP_0533,1,1,0,1,0
PROP_0534,1,0,1,1,0
PROP_0535,1,1,1,0,0
PROP_0536,1,1,1,0,1
PROP_0537,0,1,1,0,1
PROP_0538,1,1,0,0,0
PROP_0539,0,1,1,1,0
PROP_0540,0,1,1,1,1
PROP_0541,0,0,0,1,1
PROP_0542,1,1,1,1,1
PROP_0543,1,1,1,0,1
PROP_0544,0,0,0,0,1
PROP_0545,1,1,0,0,1
PROP_0546,1,1,0,0,0
PROP_0547,1,1,0,0,1
PROP_0548,0,0,1,0,1
PROP_0549,0,0,0,0,1
PROP_0550,1,1,0,1,1
PROP_0551,1,0,0,0,1
PROP_0552,1,1,1,0,0
PROP_0553,1,0,0,0,0
PROP_0554,1,0,0,0,0
PROP_0555,1,1,0,0,1
PROP_0556,1,0,1,0,1
PROP_0557,1,1,1,1,0
PROP_0558,1,1,0,0,0
PROP_0559,0,1,1,0,1
PROP_0560,1,0,1,1,0
PROP_0561,1,1,0,1,1
PROP_0562,1,1,0,0,1
PROP_0563,1,0,1,1,1
PROP_0564,1,1,0,0,1
PROP_0565,1,0,1,0,0
PROP_0566,0,1,0,1,0
PROP_0567,1,1,1,0,0
PROP_0568,0,1,0,0,1
PROP_0569,0,1,0,1,0
PROP_0570,0,0,0,0,0
PROP_0571,1,1,1,1,0
PROP_0572,1,0,1,0,1
PROP_0573,1,1,0,0,0
PROP_0574,0,1,0,1,1
PROP_0575,0,0,1,1,0
PROP_0576,0,1,1,1,1
PROP_0577,0,1,0,0,1
PROP_0578,1,1,0,0,1
PROP_0579,1,1,0,0,0
PROP_0580,1,1,0,1,0
PROP_0581,1,0,0,1,0
PROP_0582,0,1,0,0,1
PROP_0583,0,1,0,1,0
PROP_0584,0,0,1,1,1
PROP_0585,0,0,0,0,1
PROP_0586,1,1,0,1,1
PROP_0587,1,1,1,1,1
PROP_0588,1,1,0,1,0
PROP_0589,1,0,1,0,0
PROP_0590,0,1,1,1,1
PROP_0591,1,1,1,0,1
PROP_0592,0,0,1,1,1
PROP_0593,1,0,1,0,0
PROP_0594,0,1,0,1,0
PROP_0595,1,1,1,1,0
PROP_0596,0,1,1,1,0
PROP_0597,0,0,0,1,0
PROP_0598,1,0,0,1,1
PROP_0599,1,1,1,0,0
PROP_0600,1,0,0,0,1
PROP_0601,1,0,1,0,0
PROP_0602,0,0,0,1,1
PROP_0603,1,1,0,0,1
PROP_0604,0,0,1,1,1
PROP_0605,1,1,1,1,0
PROP_0606,0,0,1,0,1
PROP_0607,1,1,0,0,0
PROP_0608,1,0,0,1,0
PROP_0609,1,1,0,1,1
PROP_0610,1,0,1,0,1
PROP_0611,0,0,1,1,0
PROP_0612,0,0,0,1,0
PROP_0613,0,1,1,0,1
PROP_0614,1,1,0,0,0
PROP_0615,1,0,0,0,0
PROP_0616,0,1,0,1,0
PROP_0617,1,1,0,1,0
PROP_0618,0,0,0,0,1
PROP_0619,0,1,0,0,0
PROP_0620,1,0,0,1,0
PROP_0621,0,0,1,0,1
PROP_0622,0,0,1,1,1
PROP_0623,1,0,0,0,1
PROP_0624,1,0,0,1,0
PROP_0625,1,0,0,0,0
PROP_0626,0,0,1,1,0
PROP_0627,1,1,1,0,1
PROP_0628,0,0,0,1,0
PROP_0629,1,1,0,0,1
PROP_0630,1,0,1,1,1
PROP_0631,1,1,1,0,0
PROP_0632,1,0,1,0,0
PROP_0633,1,1,0,1,1
PROP_0634,1,1,0,1,1
PROP_0635,0,1,0,0,0
PROP_0636,0,0,0,1,1
PROP_0637,1,1,0,0,1
PROP_0638,1,1,0,0,0
PROP_0639,1,0,1,0,0
PROP_0640,0,1,0,0,1
PROP_0641,0,1,0,0,0
PROP_0642,0,0,0,0,1
PROP_0643,1,0,1,1,1
PROP_0644,1,0,0,0,1
PROP_0645,1,0,0,0,1
PROP_0646,1,0,0,1,1
PROP_0647,0,1,0,1,0
PROP_0648,0,0,1,0,1
PROP_0649,0,0,1,1,1
PROP_0650,1,1,0,1,1
PROP_0651,0,1,0,1,0
PROP_0652,1,0,0,0,1
PROP_0653,0,1,1,1,1
PROP_0654,1,0,0,1,0
PROP_0655,0,1,0,1,0
PROP_0656,1,0,1,1,1
PROP_0657,1,1,1,0,1
PROP_0658,1,1,1,1,1
PROP_0659,1,0,0,0,1
PROP_0660,1,0,0,0,1
PROP_0661,0,1,1,0,0
PROP_0662,0,1,1,0,0
PROP_0663,0,1,0,1,1
PROP_0664,0,1,0,0,0
PROP_0665,0,0,0,1,0
PROP_0666,0,1,1,1,1
PROP_0667,0,0,1,0,0
PROP_0668,1,0,0,1,0
PROP_0669,0,1,1,0,1
PROP_0670,1,0,0,0,0
PROP_0671,0,0,1,1,0
PROP_0672,1,1,0,1,0
PROP_0673,1,0,1,1,0
PROP_0674,0,1,1,1,1
PROP_0675,0,0,0,0,1
PROP_0676,0,0,0,1,0
PROP_0677,0,0,1,1,1
PROP_0678,0,1,1,0,0
PROP_0679,1,1,1,1,1
PROP_0680,1,1,0,0,0
PROP_0681,1,1,1,0,1
PROP_0682,1,0,1,1,0
PROP_0683,1,0,0,0,1
PROP_0684,0,1,0,1,0
PROP_0685,0,1,1,0,0
PROP_0686,1,0,1,0,1
PROP_0687,0,1,0,0,1
PROP_0688,1,0,0,0,0
PROP_0689,1,0,0,0,0
PROP_0690,0,0,1,0,1
PROP_0691,0,0,0,0,0
PROP_0692,1,0,1,0,0
PROP_0693,1,1,1,1,1
PROP_0694,0,0,1,1,0
PROP_0695,0,0,1,1,0
PROP_0696,1,1,1,1,1
PROP_0697,1,0,0,0,1
PROP_0698,1,0,1,1,0
PROP_0699,1,1,1,1,0
PROP_0700,0,0,0,0,1
PROP_0701,1,0,1,0,0
PROP_0702,0,1,0,1,1
PROP_0703,1,1,0,0,0
PROP_0704,1,1,0,0,0
PROP_0705,1,0,0,0,0
PROP_0706,1,0,1,1,0
PROP_0707,1,1,0,1,1
PROP_0708,0,0,0,0,0
PROP_0709,1,1,0,0,0
PROP_0710,1,1,1,0,1
PROP_0711,1,0,1,1,1
PROP_0712,0,0,1,1,1
PROP_0713,1,0,1,0,1
PROP_0714,0,0,1,1,1
PROP_0715,1,0,0,1,1
PROP_0716,1,1,1,0,0
PROP_0717,0,1,0,1,0
PROP_0718,0,1,0,1,0
PROP_0719,1,0,1,0,1
PROP_0720,1,0,1,0,0
PROP_0721,0,1,0,0,1
PROP_0722,0,1,1,0,0
PROP_0723,0,0,1,1,0
PROP_0724,0,0,0,1,1
PROP_0725,1,0,0,1,0
PROP_0726,1,1,0,1,0
PROP_0727,0,0,0,0,1
PROP_0728,0,1,0,1,0
PROP_0729,1,0,1,1,1
PROP_0730,0,0,0,0,1
PROP_0731,0,0,1,1,0
PROP_0732,1,0,0,1,1
PROP_0733,0,1,0,0,1
PROP_0734,0,0,1,0,0
PROP_0735,0,0,1,1,1
PROP_0736,0,1,1,1,0
PROP_0737,1,0,0,1,1
PROP_0738,0,1,1,1,1
PROP_0739,1,0,0,0,0
PROP_0740,1,0,0,1,0
PROP_0741,1,1,0,0,1
PROP_0742,1,0,1,1,0
PROP_0743,1,0,1,0,0
PROP_0744,1,1,1,0,0
PROP_0745,0,1,0,1,0
PROP_0746,1,1,1,1,0
PROP_0747,1,0,1,1,1
PROP_0748,1,0,0,0,0
PROP_0749,1,1,1,0,1
PROP_0750,0,1,1,1,0
PROP_0751,0,0,0,0,1
PROP_0752,0,1,1,1,0
PROP_0753,1,0,0,1,0
PROP_0754,1,1,0,1,0
PROP_0755,0,0,0,1,0
PROP_0756,1,0,0,0,1
PROP_0757,1,0,0,0,0
PROP_0758,0,0,0,1,0
PROP_0759,1,0,1,1,0
PROP_0760,1,0,1,0,0
PROP_0761,1,0,1,0,1
PROP_0762,1,0,1,1,0
PROP_0763,0,1,1,0,0
PROP_0764,0,0,1,0,1
PROP_0765,0,0,0,1,1
PROP_0766,0,0,0,0,0
PROP_0767,1,0,0,0,1
PROP_0768,0,1,0,1,1
PROP_0769,0,0,1,1,1
PROP_0770,1,0,1,0,1
PROP_0771,1,1,0,1,0
PROP_0772,1,1,0,0,0
PROP_0773,0,1,0,1,0
PROP_0774,0,1,1,1,0
PROP_0775,0,1,0,0,1
PROP_0776,0,1,1,1,1
PROP_0777,1,1,1,1,0
PROP_0778,0,1,0,1,1
PROP_0779,0,0,0,0,1
PROP_0780,0,1,1,1,0
PROP_0781,0,1,1,0,0
PROP_0782,1,1,1,1,1
PROP_0783,1,0,0,1,1
PROP_0784,0,1,1,0,0
PROP_0785,1,0,0,0,0
PROP_0786,1,1,1,0,0
PROP_0787,0,1,0,0,1
PROP_0788,1,1,1,0,0
PROP_0789,1,1,0,1,1
PROP_0790,0,0,0,1,1
PROP_0791,1,0,0,1,1
PROP_0792,0,0,0,0,0
PROP_0793,0,0,1,0,1
PROP_0794,1,0,1,1,0
PROP_0795,1,0,1,1,0
PROP_0796,0,1,0,0,1
PROP_0797,1,0,0,1,1
PROP_0798,0,1,0,0,1
PROP_0799,1,1,1,1,0
PROP_0800,0,1,1,1,1
PROP_0801,1,1,0,0,1
PROP_0802,1,1,0,0,0
PROP_0803,0,0,0,0,1
PROP_0804,1,0,1,1,1
PROP_0805,1,0,1,0,0
PROP_0806,1,0,1,1,1
PROP_0807,1,1,1,1,0
PROP_0808,1,1,1,1,0
PROP_0809,1,1,1,1,1
PROP_0810,1,1,0,0,0
PROP_0811,0,1,0,0,0
PROP_0812,1,0,1,0,1
PROP_0813,0,0,1,0,0
PROP_0814,1,0,0,0,0
PROP_0815,1,1,0,1,1
PROP_0816,0,0,0,1,0
PROP_0817,0,0,0,1,0
