Property_ID,City,Property_Type,BHK,Built_up_Area_SqFt,Price_INR,Furnishing_Status,Transaction_Type,Construction_Status,Listing_Date,Agent_ID
PROP_0033,Lucknow,Penthouse,1,4768,17163153,Semi-Furnished,New Property,Ready to Move,2023-10-25,AGT_010
PROP_0034,Delhi,Apartment,1,4783,38607902,Furnished,New Property,Under Construction,2023-10-23,AGT_021
PROP_0035,Lucknow,Villa,1,4604,16888902,Semi-Furnished,New Property,Under Construction,2023-08-02,AGT_006
PROP_0036,Lucknow,Independent House,2,1185,5100746,Unfurnished,Resale,Ready to Move,2023-08-27,AGT_011
PROP_0037,Chandigarh,Villa,4,3876,15645826,Semi-Furnished,New Property,Under Construction,2024-02-02,AGT_023
PROP_0038,Gurgaon,Independent House,4,760,8465899,Furnished,New Property,Under Construction,2023-10-06,AGT_019
PROP_0039,Chandigarh,Penthouse,1,3345,12629699,Unfurnished,Resale,Under Construction,2024-02-06,AGT_022
PROP_0040,Delhi,Penthouse,4,2346,21277923,Unfurnished,Resale,Under Construction,2023-02-11,AGT_006
PROP_0041,Ambala,Villa,4,4277,16861426,Furnished,Resale,Ready to Move,2023-01-17,AGT_006
PROP_0042,Bangalore,Villa,4,3076,26517886,Furnished,Resale,Ready to Move,2023-10-24,AGT_012
PROP_0043,Chandigarh,Independent House,5,1516,8526428,Semi-Furnished,Resale,Ready to Move,2024-02-13,AGT_001
PROP_0044,Delhi,Independent House,3,3964,33967211,Semi-Furnished,Resale,Under Construction,2024-02-05,AGT_019
PROP_0045,Jaipur,Villa,1,2390,9121826,Unfurnished,New Property,Ready to Move,2023-01-26,AGT_011
PROP_0046,Noida,Penthouse,3,4393,37001961,Unfurnished,New Property,Under Construction,2023-08-29,AGT_016
PROP_0047,Lucknow,Apartment,1,3696,13738033,Semi-Furnished,Resale,Ready to Move,2023-11-18,AGT_013
PROP_0048,Jaipur,Apartment,1,1232,5251481,Unfurnished,New Property,Ready to Move,2024-02-25,AGT_011
PROP_0049,Delhi,Independent House,4,566,6669693,Semi-Furnished,Resale,Under Construction,2023-08-11,AGT_006
PROP_0050,Lucknow,Penthouse,1,1662,7159035,Unfurnished,New Property,Under Construction,2023-02-20,AGT_009
PROP_0051,Hyderabad,Apartment,3,1977,17353490,Semi-Furnished,New Property,Ready to Move,2023-02-01,AGT_003
PROP_0052,Ambala,Penthouse,5,4182,17010011,Furnished,Resale,Ready to Move,2023-01-03,AGT_006
PROP_0053,Noida,Apartment,4,972,10611170,Semi-Furnished,Resale,Ready to Move,2023-08-11,AGT_001
PROP_0054,Jaipur,Apartment,4,3463,13923795,Furnished,New Property,Ready to Move,2023-04-11,AGT_007
PROP_0055,Chandigarh,Penthouse,3,1027,5369389,Semi-Furnished,New Property,Ready to Move,2024-01-29,AGT_011
PROP_0056,Hyderabad,Apartment,1,4286,34781551,Semi-Furnished,New Property,Under Construction,2023-03-17,AGT_024
PROP_0057,Noida,Apartment,4,622,6996545,Semi-Furnished,New Property,Under Construction,2023-05-06,AGT_007
PROP_0058,Bangalore,Independent House,5,1349,13148859,Semi-Furnished,Resale,Ready to Move,2023-10-23,AGT_005
PROP_0059,Mumbai,Penthouse,4,1861,17560598,Furnished,Resale,Ready to Move,2023-04-13,AGT_025
PROP_0060,Gurgaon,Penthouse,2,4921,40407976,Furnished,New Property,Under Construction,2023-05-16,AGT_017
PROP_0061,Jaipur,Independent House,3,2259,9571069,Furnished,Resale,Under Construction,2023-10-21,AGT_013
PROP_0062,Hyderabad,Apartment,2,2875,23971590,Furnished,Resale,Ready to Move,2023-07-26,AGT_025
PROP_0063,Mumbai,Penthouse,1,3451,28814522,Unfurnished,Resale,Under Construction,2023-06-08,AGT_025
PROP_0064,Mumbai,Villa,1,4602,37979720,Unfurnished,New Property,Ready to Move,2023-03-26,AGT_001
PROP_0065,Hyderabad,Apartment,2,4351,36467613,Furnished,New Property,Ready to Move,2023-07-25,AGT_016
PROP_0066,Hyderabad,Independent House,3,4862,40860292,Furnished,New Property,Under Construction,2023-06-08,AGT_014
PROP_0067,Lucknow,Villa,5,4952,20753247,Furnished,New Property,Ready to Move,2023-05-12,AGT_025
PROP_0068,Lucknow,Independent House,2,1319,5946202,Furnished,Resale,Ready to Move,2023-11-28,AGT_017
PROP_0069,Lucknow,Penthouse,5,1029,6159450,Furnished,Resale,Ready to Move,2023-11-14,AGT_003
PROP_0070,Hyderabad,Apartment,2,4459,37429450,Semi-Furnished,New Property,Under Construction,2023-04-05,AGT_004
PROP_0071,Hyderabad,Villa,4,1401,13979861,Furnished,New Property,Ready to Move,2023-03-15,AGT_018
PROP_0072,Lucknow,Penthouse,5,4035,17226902,Furnished,Resale,Ready to Move,2023-05-24,AGT_022
PROP_0073,Gurgaon,Independent House,4,2085,19311423,Furnished,New Property,Ready to Move,2023-08-20,AGT_019
PROP_0074,Lucknow,Apartment,5,3415,15311353,Unfurnished,New Property,Ready to Move,2023-08-26,AGT_004
PROP_0075,Bangalore,Villa,1,4654,37628016,Semi-Furnished,New Property,Under Construction,2023-06-03,AGT_005
PROP_0076,Bangalore,Villa,5,4400,38494726,Unfurnished,New Property,Ready to Move,2024-02-04,AGT_010
PROP_0077,Jaipur,Apartment,2,3346,13127516,Semi-Furnished,New Property,Ready to Move,2024-01-13,AGT_024
PROP_0078,Lucknow,Villa,5,3249,13976601,Unfurnished,New Property,Under Construction,2024-01-23,AGT_011
PROP_0079,Noida,Independent House,2,4284,35848730,Unfurnished,Resale,Ready to Move,2023-08-21,AGT_018
PROP_0080,Jaipur,Apartment,2,1070,5714128,Semi-Furnished,Resale,Ready to Move,2024-01-26,AGT_023
PROP_0081,Chandigarh,Independent House,4,4888,19998619,Unfurnished,New Property,Ready to Move,2024-01-11,AGT_022
PROP_0082,Jaipur,Villa,3,4425,17084928,Furnished,Resale,Ready to Move,2023-06-08,AGT_008
PROP_0083,Noida,Penthouse,2,4437,36752813,Unfurnished,New Property,Ready to Move,2023-01-18,AGT_023
PROP_0084,Jaipur,Penthouse,2,713,3389558,Semi-Furnished,Resale,Under Construction,2023-11-17,AGT_017
PROP_0085,Bangalore,Penthouse,5,4574,39850440,Semi-Furnished,New Property,Ready to Move,2023-02-27,AGT_019
PROP_0086,Noida,Villa,3,3032,26587552,Semi-Furnished,Resale,Under Construction,2023-08-07,AGT_005
PROP_0087,Lucknow,Villa,5,1851,9203287,Unfurnished,New Property,Ready to Move,2023-05-14,AGT_024
PROP_0088,Delhi,Penthouse,2,3030,25517420,Semi-Furnished,Resale,Ready to Move,2023-08-25,AGT_011
PROP_0089,Bangalore,Independent House,2,4232,35060549,Unfurnished,Resale,Under Construction,2023-03-26,AGT_001
PROP_0090,Hyderabad,Apartment,3,2819,24472235,Unfurnished,Resale,Ready to Move,2023-09-03,AGT_003
PROP_0091,Noida,Apartment,4,3055,26563553,Unfurnished,Resale,Under Construction,2023-11-29,AGT_012
PROP_0092,Mumbai,Penthouse,1,3805,31294354,Unfurnished,Resale,Ready to Move,2023-12-17,AGT_020
PROP_0093,Noida,Penthouse,5,2610,24326004,Unfurnished,Resale,Under Construction,2023-03-12,AGT_024
PROP_0094,Ambala,Independent House,1,3088,11932005,Semi-Furnished,New Property,Ready to Move,2023-01-10,AGT_016
PROP_0095,Delhi,Penthouse,5,1629,15741619,Unfurnished,New Property,Under Construction,2023-05-18,AGT_001
PROP_0096,Delhi,Independent House,2,2193,19204140,Unfurnished,New Property,Ready to Move,2023-09-07,AGT_020
PROP_0097,Lucknow,Penthouse,1,3974,14646089,Furnished,New Property,Ready to Move,2023-02-10,AGT_010
PROP_0098,Delhi,Villa,3,665,7720975,Semi-Furnished,Resale,Under Construction,2023-09-24,AGT_002
PROP_0099,Lucknow,Apartment,5,4083,17632812,Semi-Furnished,Resale,Under Construction,2023-07-28,AGT_017
PROP_0100,Hyderabad,Penthouse,4,1857,16835573,Unfurnished,Resale,Under Construction,2023-09-07,AGT_025
PROP_0101,Noida,Apartment,4,4253,36043625,Unfurnished,New Property,Under Construction,2023-05-30,AGT_012
PROP_0102,Jaipur,Apartment,3,2498,10093155,Unfurnished,Resale,Under Construction,2023-07-24,AGT_012
PROP_0103,Hyderabad,Villa,2,1361,11829664,Unfurnished,Resale,Under Construction,2023-01-16,AGT_021
PROP_0104,Ambala,Apartment,2,3573,13733866,Furnished,Resale,Under Construction,2024-01-18,AGT_021
PROP_0105,Bangalore,Independent House,1,2377,20012807,Unfurnished,Resale,Ready to Move,2023-06-14,AGT_001
PROP_0106,Ambala,Independent House,4,1974,8884563,Semi-Furnished,New Property,Under Construction,2023-08-25,AGT_016
PROP_0107,Hyderabad,Apartment,1,4465,36413964,Unfurnished,New Property,Ready to Move,2023-04-15,AGT_012
PROP_0108,Bangalore,Villa,1,4713,39065874,Unfurnished,Resale,Ready to Move,2023-10-16,AGT_015
PROP_0109,Mumbai,Independent House,4,4610,39337117,Semi-Furnished,New Property,Under Construction,2023-12-25,AGT_012
PROP_0110,Ambala,Apartment,1,2298,9303238,Semi-Furnished,Resale,Ready to Move,2023-06-20,AGT_003
PROP_0111,Jaipur,Apartment,4,573,4071766,Unfurnished,Resale,Ready to Move,2024-02-07,AGT_023
PROP_0112,Hyderabad,Independent House,3,4834,40702320,Furnished,New Property,Under Construction,2023-06-04,AGT_017
PROP_0113,Gurgaon,Villa,2,2813,24327662,Unfurnished,New Property,Ready to Move,2023-08-12,AGT_013
PROP_0114,Chandigarh,Apartment,2,2449,9463537,Furnished,Resale,Ready to Move,2023-01-26,AGT_017
PROP_0115,Chandigarh,Penthouse,3,3468,14187096,Furnished,Resale,Under Construction,2023-12-02,AGT_017
PROP_0116,Hyderabad,Independent House,5,1528,15133793,Semi-Furnished,Resale,Ready to Move,2023-04-07,AGT_022
PROP_0117,Delhi,Penthouse,4,700,8540115,Furnished,Resale,Ready to Move,2023-07-22,AGT_013
PROP_0118,Mumbai,Villa,1,775,7107598,Semi-Furnished,Resale,Ready to Move,2023-06-13,AGT_023
PROP_0119,Delhi,Penthouse,1,1448,11946326,Semi-Furnished,Resale,Under Construction,2023-11-09,AGT_019
PROP_0120,Noida,Apartment,4,1331,12502778,Furnished,New Property,Under Construction,2023-05-18,AGT_022
PROP_0121,Delhi,Villa,2,2755,23414372,Semi-Furnished,Resale,Ready to Move,2023-04-19,AGT_020
PROP_0122,Ambala,Apartment,5,2592,11731361,Unfurnished,Resale,Ready to Move,2023-05-30,AGT_008
PROP_0123,Noida,Apartment,4,1857,17836459,Semi-Furnished,New Property,Under Construction,2023-04-10,AGT_020
PROP_0124,Gurgaon,Penthouse,3,1612,14446465,Unfurnished,New Property,Under Construction,2023-07-29,AGT_006
PROP_0125,Mumbai,Penthouse,3,1085,10464506,Furnished,Resale,Ready to Move,2023-12-15,AGT_023
PROP_0126,Noida,Penthouse,1,1832,16033119,Unfurnished,Resale,Under Construction,2023-11-21,AGT_005
PROP_0127,Ambala,Villa,2,3943,15792662,Unfurnished,New Property,Ready to Move,2023-12-11,AGT_022
PROP_0128,Jaipur,Independent House,1,4323,15966758,Unfurnished,New Property,Ready to Move,2023-04-15,AGT_011
PROP_0129,Ambala,Penthouse,4,4163,16639643,Semi-Furnished,Resale,Ready to Move,2023-08-01,AGT_019
PROP_0130,Lucknow,Villa,5,4839,19512890,Furnished,Resale,Under Construction,2023-10-07,AGT_008
PROP_0131,Ambala,Independent House,5,3926,16115625,Furnished,New Property,Ready to Move,2023-05-17,AGT_015
PROP_0132,Delhi,Villa,3,3950,33981656,Semi-Furnished,Resale,Ready to Move,2023-05-19,AGT_012
PROP_0133,Gurgaon,Villa,2,4304,36078861,Furnished,New Property,Under Construction,2023-07-18,AGT_017
PROP_0134,Hyderabad,Independent House,1,1614,14225871,Semi-Furnished,New Property,Ready to Move,2023-09-15,AGT_025
PROP_0135,Delhi,Independent House,2,4900,40960135,Unfurnished,New Property,Under Construction,2023-01-05,AGT_001
PROP_0136,Bangalore,Apartment,4,1896,17249966,Semi-Furnished,Resale,Under Construction,2023-05-28,AGT_023
PROP_0137,Hyderabad,Apartment,1,3431,28666072,Furnished,New Property,Ready to Move,2023-07-01,AGT_010
PROP_0138,Noida,Villa,5,3097,27451234,Semi-Furnished,New Property,Under Construction,2023-01-29,AGT_006
PROP_0139,Lucknow,Independent House,5,4490,18376800,Furnished,Resale,Under Construction,2023-12-18,AGT_012
PROP_0140,Gurgaon,Villa,2,3842,31906056,Unfurnished,Resale,Under Construction,2024-02-18,AGT_017
PROP_0141,Lucknow,Independent House,1,816,3667982,Unfurnished,Resale,Ready to Move,2023-06-25,AGT_020
PROP_0142,Gurgaon,Apartment,3,2576,22807428,Furnished,Resale,Ready to Move,2023-08-17,AGT_005
PROP_0143,Bangalore,Apartment,1,3847,32101853,Semi-Furnished,New Property,Under Construction,2023-01-06,AGT_002
PROP_0144,Chandigarh,Penthouse,4,1932,9554902,Semi-Furnished,New Property,Ready to Move,2023-08-24,AGT_009
PROP_0145,Delhi,Penthouse,2,417,4165285,Furnished,Resale,Ready to Move,2023-03-19,AGT_013
PROP_0146,Gurgaon,Apartment,3,941,9325940,Semi-Furnished,Resale,Under Construction,2024-01-12,AGT_024
PROP_0147,Bangalore,Apartment,4,2803,24488030,Unfurnished,New Property,Under Construction,2023-01-04,AGT_004
PROP_0148,Mumbai,Villa,3,3036,25717148,Furnished,Resale,Under Construction,2023-10-21,AGT_014
PROP_0149,Jaipur,Villa,2,4811,18568651,Furnished,Resale,Ready to Move,2023-09-29,AGT_013
PROP_0150,Ambala,Penthouse,3,3538,14767583,Unfurnished,New Property,Ready to Move,2023-07-16,AGT_014
PROP_0151,Bangalore,Penthouse,5,1084,12110052,Furnished,Resale,Under Construction,2023-03-16,AGT_009
PROP_0152,Gurgaon,Apartment,1,1194,10835009,Unfurnished,Resale,Ready to Move,2023-11-03,AGT_012
PROP_0153,Hyderabad,Penthouse,1,2372,19972189,Furnished,New Property,Ready to Move,2023-04-28,AGT_023
PROP_0154,Bangalore,Penthouse,1,4602,38280598,Semi-Furnished,Resale,Under Construction,2023-11-15,AGT_022
PROP_0155,Ambala,Independent House,5,4506,18777044,Unfurnished,New Property,Ready to Move,2023-05-03,AGT_007
PROP_0156,Ambala,Independent House,1,745,4006363,Furnished,Resale,Ready to Move,2023-07-25,AGT_001
PROP_0157,Noida,Penthouse,2,1618,14885230,Unfurnished,Resale,Under Construction,2023-01-31,AGT_019
PROP_0158,Mumbai,Apartment,1,2591,21921830,Semi-Furnished,Resale,Ready to Move,2023-09-26,AGT_010
PROP_0159,Mumbai,Villa,4,4726,39831549,Furnished,New Property,Ready to Move,2023-01-18,AGT_002
PROP_0160,Delhi,Independent House,5,907,9623823,Furnished,New Property,Under Construction,2023-01-01,AGT_001
PROP_0161,Delhi,Apartment,2,1746,14933754,Furnished,New Property,Under Construction,2023-09-22,AGT_010
PROP_0162,Hyderabad,Apartment,3,773,8615400,Unfurnished,New Property,Under Construction,2023-09-06,AGT_005
PROP_0163,Gurgaon,Independent House,5,2411,21893704,Semi-Furnished,Resale,Under Construction,2023-11-07,AGT_020
PROP_0164,Jaipur,Penthouse,3,1331,6565058,Unfurnished,New Property,Under Construction,2023-02-16,AGT_007
PROP_0165,Mumbai,Penthouse,3,2649,23588215,Unfurnished,Resale,Under Construction,2023-03-22,AGT_021
PROP_0166,Jaipur,Penthouse,4,565,4206359,Unfurnished,New Property,Under Construction,2023-06-19,AGT_001
PROP_0167,Ambala,Apartment,3,1343,6189291,Semi-Furnished,Resale,Ready to Move,2023-06-27,AGT_018
PROP_0168,Ambala,Villa,3,4901,18555867,Furnished,New Property,Ready to Move,2023-12-12,AGT_019
PROP_0169,Bangalore,Independent House,5,1220,13220441,Semi-Furnished,Resale,Ready to Move,2023-03-11,AGT_006
PROP_0170,Bangalore,Villa,5,2309,21395314,Semi-Furnished,New Property,Under Construction,2023-05-03,AGT_022
PROP_0171,Chandigarh,Apartment,5,1699,9308906,Unfurnished,New Property,Ready to Move,2023-07-17,AGT_016
PROP_0172,Bangalore,Independent House,2,431,4875278,Semi-Furnished,Resale,Ready to Move,2023-11-09,AGT_025
PROP_0173,Mumbai,Apartment,3,4579,38189490,Furnished,New Property,Ready to Move,2023-03-17,AGT_012
PROP_0174,Ambala,Independent House,2,4060,15601191,Furnished,Resale,Ready to Move,2023-08-21,AGT_020
PROP_0175,Hyderabad,Penthouse,5,3770,32780577,Semi-Furnished,Resale,Ready to Move,2023-08-30,AGT_025
PROP_0176,Bangalore,Villa,3,4307,36436030,Semi-Furnished,Resale,Ready to Move,2023-10-03,AGT_025
PROP_0177,Hyderabad,Villa,4,1067,11307533,Semi-Furnished,New Property,Ready to Move,2023-06-08,AGT_010
PROP_0178,Gurgaon,Villa,3,3486,29220576,Semi-Furnished,Resale,Ready to Move,2023-02-12,AGT_017
PROP_0179,Jaipur,Apartment,3,4377,17534271,Semi-Furnished,Resale,Under Construction,2023-11-03,AGT_014
PROP_0180,Noida,Apartment,4,3981,34315380,Furnished,Resale,Ready to Move,2023-01-17,AGT_025
PROP_0181,Lucknow,Penthouse,2,837,4771636,Semi-Furnished,New Property,Under Construction,2023-03-29,AGT_014
PROP_0182,Bangalore,Apartment,3,2885,24675498,Furnished,Resale,Ready to Move,2023-02-23,AGT_001
PROP_0183,Mumbai,Independent House,1,2533,21607375,Unfurnished,New Property,Under Construction,2023-11-07,AGT_005
PROP_0184,Bangalore,Villa,2,4050,33594840,Unfurnished,New Property,Under Construction,2023-05-18,AGT_014
PROP_0185,Ambala,Penthouse,2,4057,15553421,Semi-Furnished,New Property,Under Construction,2023-09-10,AGT_003
PROP_0186,Mumbai,Villa,5,4806,41243180,Semi-Furnished,New Property,Ready to Move,2023-02-07,AGT_010
PROP_0187,Delhi,Independent House,4,2173,20114303,Unfurnished,Resale,Ready to Move,2023-06-09,AGT_003
PROP_0188,Gurgaon,Apartment,1,4267,35634731,Unfurnished,Resale,Ready to Move,2023-04-04,AGT_022
PROP_0189,Ambala,Villa,2,3251,13179427,Furnished,New Property,Ready to Move,2024-02-07,AGT_014
PROP_0190,Jaipur,Penthouse,4,3049,13661095,Unfurnished,New Property,Ready to Move,2023-10-23,AGT_012
PROP_0191,Delhi,Villa,5,4315,37206638,Furnished,New Property,Under Construction,2023-12-14,AGT_010
PROP_0192,Gurgaon,Penthouse,3,2703,23621524,Furnished,New Property,Ready to Move,2023-11-27,AGT_017
PROP_0193,Bangalore,Independent House,1,1438,12169679,Furnished,New Property,Under Construction,2023-09-04,AGT_010
PROP_0194,Jaipur,Apartment,2,1991,7785534,Unfurnished,Resale,Ready to Move,2023-12-14,AGT_012
PROP_0195,Bangalore,Villa,2,2337,20400250,Semi-Furnished,New Property,Ready to Move,2023-11-09,AGT_011
PROP_0196,Lucknow,Penthouse,3,668,4153990,Unfurnished,New Property,Ready to Move,2023-12-28,AGT_018
PROP_0197,Lucknow,Independent House,4,3279,14415590,Semi-Furnished,New Property,Ready to Move,2024-02-12,AGT_008
PROP_0198,Hyderabad,Penthouse,2,3884,33018641,Unfurnished,New Property,Ready to Move,2024-01-03,AGT_013
PROP_0199,Delhi,Apartment,1,3668,30357945,Unfurnished,Resale,Ready to Move,2023-01-17,AGT_003
PROP_0200,Ambala,Penthouse,4,1919,8834413,Unfurnished,New Property,Ready to Move,2023-07-15,AGT_010
PROP_0201,Jaipur,Villa,4,2238,9890879,Unfurnished,New Property,Ready to Move,2023-05-03,AGT_008
PROP_0202,Hyderabad,Independent House,5,4050,35199633,Semi-Furnished,Resale,Under Construction,2023-11-03,AGT_004
PROP_0203,Bangalore,Apartment,3,1571,14668741,Furnished,New Property,Ready to Move,2023-06-26,AGT_003
PROP_0204,Gurgaon,Independent House,3,2867,24952492,Furnished,Resale,Under Construction,2023-05-14,AGT_019
PROP_0205,Lucknow,Penthouse,4,2143,9367166,Furnished,Resale,Under Construction,2023-05-27,AGT_021
PROP_0206,Jaipur,Independent House,5,2912,12942206,Unfurnished,Resale,Ready to Move,2023-09-28,AGT_019
PROP_0207,Lucknow,Penthouse,4,3141,13583835,Furnished,Resale,Ready to Move,2024-02-09,AGT_009
PROP_0208,Jaipur,Villa,4,3137,12928656,Furnished,Resale,Ready to Move,2023-11-18,AGT_006
PROP_0209,Ambala,Independent House,5,1488,8531273,Unfurnished,New Property,Under Construction,2023-09-27,AGT_004
PROP_0210,Ambala,Independent House,5,1240,7108943,Unfurnished,Resale,Ready to Move,2023-07-20,AGT_007
PROP_0211,Noida,Penthouse,4,4277,36135500,Semi-Furnished,New Property,Under Construction,2023-03-11,AGT_014
PROP_0212,Bangalore,Villa,4,2319,21487351,Furnished,New Property,Under Construction,2023-06-16,AGT_007
PROP_0213,Ambala,Independent House,5,2102,10659793,Semi-Furnished,Resale,Ready to Move,2023-03-23,AGT_022
PROP_0214,Hyderabad,Apartment,3,4850,40114506,Furnished,New Property,Under Construction,2023-12-05,AGT_011
PROP_0215,Noida,Independent House,3,4682,38864652,Furnished,Resale,Under Construction,2023-11-21,AGT_011
PROP_0216,Gurgaon,Villa,4,2807,24607516,Unfurnished,New Property,Under Construction,2023-11-04,AGT_025
PROP_0217,Delhi,Apartment,2,4830,39975167,Furnished,Resale,Under Construction,2023-01-22,AGT_023
PROP_0218,Delhi,Independent House,1,3439,28412942,Furnished,Resale,Under Construction,2023-05-30,AGT_020
PROP_0219,Mumbai,Independent House,5,3458,30465757,Unfurnished,New Property,Ready to Move,2023-06-19,AGT_004
PROP_0220,Noida,Villa,2,2860,24772700,Furnished,Resale,Ready to Move,2023-09-14,AGT_014
PROP_0221,Bangalore,Villa,3,1399,12828241,Semi-Furnished,New Property,Ready to Move,2023-06-27,AGT_023
PROP_0222,Chandigarh,Penthouse,3,4564,17748835,Unfurnished,New Property,Ready to Move,2023-04-06,AGT_025
PROP_0223,Lucknow,Penthouse,5,4339,18129792,Furnished,New Property,Ready to Move,2023-10-05,AGT_015
PROP_0224,Gurgaon,Independent House,4,768,8575860,Unfurnished,Resale,Ready to Move,2023-04-21,AGT_006
PROP_0225,Mumbai,Apartment,5,1096,11817642,Unfurnished,Resale,Under Construction,2023-03-03,AGT_016
PROP_0226,Hyderabad,Independent House,5,4413,37985681,Furnished,New Property,Under Construction,2023-08-14,AGT_010
PROP_0227,Bangalore,Penthouse,3,4362,36988394,Semi-Furnished,New Property,Under Construction,2023-01-14,AGT_018
PROP_0228,Jaipur,Penthouse,4,2854,12027054,Semi-Furnished,Resale,Under Construction,2023-04-10,AGT_021
PROP_0229,Noida,Villa,2,2721,23332966,Semi-Furnished,Resale,Under Construction,2023-06-13,AGT_008
PROP_0230,Delhi,Apartment,1,522,5464075,Semi-Furnished,New Property,Ready to Move,2023-12-05,AGT_011
PROP_0231,Bangalore,Independent House,5,4604,39701003,Unfurnished,New Property,Under Construction,2023-06-19,AGT_021
PROP_0232,Mumbai,Apartment,1,3884,31768462,Unfurnished,Resale,Under Construction,2023-12-11,AGT_003
PROP_0233,Hyderabad,Apartment,3,2170,19326999,Furnished,New Property,Under Construction,2024-01-03,AGT_018
PROP_0234,Bangalore,Penthouse,1,2135,18535001,Unfurnished,Resale,Ready to Move,2023-09-28,AGT_009
PROP_0235,Delhi,Apartment,1,2673,21788244,Furnished,Resale,Under Construction,2023-09-27,AGT_023
PROP_0236,Noida,Independent House,1,3023,25647308,Semi-Furnished,New Property,Ready to Move,2023-02-28,AGT_008
PROP_0237,Noida,Independent House,4,4234,36652660,Unfurnished,Resale,Ready to Move,2023-01-31,AGT_009
PROP_0238,Ambala,Apartment,4,1435,7755164,Semi-Furnished,New Property,Ready to Move,2023-04-21,AGT_020
PROP_0239,Ambala,Apartment,3,601,3474256,Unfurnished,New Property,Under Construction,2023-08-23,AGT_016
PROP_0240,Mumbai,Penthouse,5,4596,39673594,Semi-Furnished,Resale,Under Construction,2023-05-03,AGT_012
PROP_0241,Bangalore,Penthouse,3,2708,23019882,Semi-Furnished,Resale,Ready to Move,2023-12-18,AGT_004
